time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1708937290.11953807,0.02535391,53487,0.00251393,0.00000000,0,0.00000065,2916,3931,1573,0.00000000
1708937290.21956253,0.02412814,53794,0.00212165,0.00000000,0,0.00000051,3931,4235,1007,0.01175307
1708937290.31953454,0.02354805,53528,0.00164782,0.00000000,0,0.00000047,4235,4736,921,0.01783729
1708937290.41953540,0.03329370,52912,0.00142180,0.00000000,0,0.00000054,4736,5262,896,0.01178597
1708937290.51963139,0.02309733,53652,0.00172290,0.00000000,0,0.00000053,5262,5395,855,0.01266234
1708937290.61969781,0.03285819,52851,0.00116146,0.00000000,0,0.00000051,5395,5272,660,0.01073642
1708937290.71965933,0.02859300,53050,0.00100304,0.00000000,0,0.00000047,5272,5620,616,0.00796273
1708937290.81968331,0.02430805,52892,0.00105655,0.00000000,0,0.00000042,5620,5916,590,0.00763998
1708937290.91969371,0.03065016,52748,0.00084414,0.00000000,0,0.00000042,5916,6161,484,0.00382924
1708937291.01971793,0.02461473,52861,0.00100281,0.00000000,0,0.00000058,6161,6117,464,0.00933953
1708937291.11954403,0.03584112,53297,0.00131544,0.00000000,0,0.00000044,6117,6353,490,0.00894837
1708937291.21972227,0.02572177,52653,0.00078494,0.00000000,0,0.00000073,6353,6467,426,0.00770121
1708937291.31966424,0.02972184,53491,0.00151643,0.00000000,0,0.00000047,6467,6336,523,0.00507370
1708937291.41966319,0.02560029,53250,0.00081246,0.00000000,0,0.00000053,6336,6620,467,0.00411761
1708937291.51960492,0.02905253,52739,0.00187710,0.00000000,0,0.00000126,6620,6810,455,0.00847309
1708937291.61970735,0.02326784,53357,0.00081395,0.00000000,0,0.00000068,6810,7004,424,0.00874662
1708937291.71969914,0.03394618,52098,0.00076795,0.00000000,0,0.00000094,7004,7096,406,0.00808074
1708937291.81943059,0.02513808,52467,0.00073244,0.00000000,0,0.00000042,7096,7223,357,0.00695545
1708937291.91964340,0.03232445,51955,0.00070903,0.00000000,0,0.00000042,7223,7298,351,0.00258269
1708937292.01959610,0.02850112,52935,0.00086016,0.00000000,0,0.00000046,7298,7413,300,0.00504633
1708937292.11966658,0.02617813,51403,0.00058117,0.00000000,0,0.00000044,7413,7420,274,0.00817654
1708937292.21960711,0.02494900,53459,0.00057590,0.00000000,0,0.00000058,7420,7507,271,0.00581772
1708937292.31976032,0.02975758,53067,0.00062663,0.00000000,0,0.00000060,7507,7585,231,0.00900827
1708937292.41961789,0.05006902,52785,0.00054316,0.00000000,0,0.00000087,7585,7686,238,0.00839419
1708937292.51962829,0.03050925,53121,0.00050338,0.00000000,0,0.00000102,7686,7745,229,0.00774934
1708937292.61966658,0.02707306,52488,0.00047817,0.00000000,0,0.00000044,7745,7779,208,0.00827681
1708937292.71961951,0.02645174,53075,0.00044565,0.00000000,0,0.00000056,7779,7842,210,0.01078483
1708937292.81966949,0.03130851,51227,0.00060139,0.00000000,0,0.00000059,7842,7781,208,0.00688067
1708937292.91970730,0.03459625,53177,0.00084145,0.00000000,0,0.00000065,7781,7734,210,0.01009117
1708937293.01956677,0.07193499,53043,0.00042086,0.00000000,0,0.00000100,7734,7784,168,0.00730527
1708937293.11966276,0.02288275,51497,0.00055351,0.00000000,0,0.00000052,7784,7842,231,0.00680157
